Movie Name,Total Number of Ratings,Rating Score,Genre,Budget,Gross USA
The Shawshank Redemption (1994) ,"2,229,845",9.3,Drama,"$25,000,000","$28,699,976"
The Godfather (1972) ,"1,537,023",9.2,Crime,"$6,000,000","$134,966,411"
The Godfather: Part II (1974) ,"1,075,524",9.0,Crime,"$13,000,000","$47,834,595"
The Dark Knight (2008) ,"2,202,508",9.0,Action,"$185,000,000","$535,234,033"
12 Angry Men (1957) ,"651,932",8.9,Drama,"$350,000",None
Schindler's List (1993) ,"1,160,530",8.9,Biography,"$22,000,000","$96,898,818"
The Lord of the Rings: The Return of the King (2003) ,"1,578,654",8.9,Adventure,"$94,000,000","$377,845,905"
Pulp Fiction (1994) ,"1,748,504",8.9,Crime,"$8,000,000","$107,928,762"
"Il buono, il brutto, il cattivo (1966) ","659,362",8.8,Western,"$1,200,000","$25,100,000"
The Lord of the Rings: The Fellowship of the Ring (2001) ,"1,591,585",8.8,Action,"$93,000,000","$315,544,750"
Fight Club (1999) ,"1,776,210",8.8,Drama,"$63,000,000","$37,030,102"
Forrest Gump (1994) ,"1,719,754",8.8,Drama,"$55,000,000","$330,455,270"
Inception (2010) ,"1,955,044",8.8,Action,"$160,000,000","$292,576,195"
Star Wars: Episode V - The Empire Strikes Back (1980) ,"1,113,808",8.7,Action,"$18,000,000","$290,271,960"
The Lord of the Rings: The Two Towers (2002) ,"1,425,903",8.7,Adventure,"$94,000,000","$342,551,365"
The Matrix (1999) ,"1,601,473",8.7,Action,"$63,000,000","$171,479,930"
Goodfellas (1990) ,"970,394",8.7,Biography,"$25,000,000","$46,836,214"
One Flew Over the Cuckoo's Nest (1975) ,"876,153",8.7,Drama,"$3,000,000","$108,981,275"
Shichinin no samurai (1954) ,"301,346",8.6,Action,"JPY125,000,000","$318,649"
Se7en (1995) ,"1,372,917",8.6,Crime,"$33,000,000","$100,125,643"
Cidade de Deus (2002) ,"675,687",8.6,Crime,"$3,300,000","$7,564,459"
La vita è bella (1997) ,"592,702",8.6,Comedy,"$20,000,000","$57,563,264"
